中文名,英文名,建议摄入量,不适宜人群,简介
白子菜,翻译暂缺,暂无数据,均适宜,白子菜（Gynura divaricata (L.) DC.）是菊科菊三七属多年生草本植物。茎木质，带有紫色， 表面有白色较短柔毛， 晒干后具条棱；叶片质地较厚，几乎无叶柄， 呈卵形、椭圆形或倒披针形，上面绿色，下面带紫色，常常集中的生长于茎的下部； 花全部为管状，金黄色， 小花橙黄色，有香气；瘦果圆柱形，成熟时为褐色，表面有线条 且具微小绒毛。花果期8-10月。
花生四烯酸油脂,Arochidonic Acid Oil,≤600毫克/天（以纯花生四烯酸计）,均适宜,花生四烯酸油脂是以高山被孢霉为菌种，经发酵培养制得菌丝体，菌丝体经过滤、压榨、干燥、萃取及精制后得到的产物。生产经营应当符合有关法律、法规、标准规定。
植物甾醇,phytosterol,≤2.4克/天,均适宜,植物固醇，是以游离状态或与脂肪酸和糖等结合的状态存在的一种功能性成分，广泛存在于蔬菜、水果等各种植物的细胞膜中。
植物甾醇酯,翻译暂缺,≤3.9克/天,均适宜,植物甾醇酯一般由植物甾醇与脂肪酸通过酯化反应或转酯化反应制得。由于可以用于制造植物甾醇酯的甾醇和脂肪酸种类都较多，因此可以得到多种不同理化性质的植物甾醇酯，三种主要植物甾醇酯为β－谷甾醇酯，豆甾醇酯，菜油甾醇酯。甾醇酯能够在人体内转化成甾醇和脂肪酸，所以其生理功能包括植物甾醇和脂肪酸两部分所具有的生理功能，具有与游离植物甾醇同等的减低血浆总胆固醇和低密度脂蛋白胆固醇的效果，在某些方面甚至效果更好。
棉籽低聚糖|棉子低聚糖,翻译暂缺,≤5克/天,均适宜,暂无介绍
DHA藻油,DHA algae oil,推荐食用量≤300毫克/天（以纯DHA计）,均适宜,DHA，二十二碳六烯酸，俗称脑黄金，是一种对人体非常重要的多不饱和脂肪酸，属于Omega-3不饱和脂肪酸家族中的重要成员。DHA是神经系统细胞生长及维持的一种主要元素，是大脑和视网膜的重要构成脂肪酸，在人体大脑皮层中含量高达20%，在眼睛视网膜中所占比例最大，约占50%。对婴儿智力和视力发育至关重要。DHA藻油提取自海洋微藻，未经食物链的传递，相对更安全，其EPA含量非常低。
酸角,翻译暂缺,暂无数据,均适宜,酸豆（Tamarindus indica L.），苏木科酸豆属常绿乔木。酸豆树皮呈暗灰色，不规则纵裂，小叶长圆形，先端圆钝或微凹；花序生于枝顶，总状花序，花黄色或杂以紫红色条纹；荚果圆柱状长圆形，肿胀，棕褐色，不开裂； 花期4~6月，果实成熟期翌年2~5月。 [13]  因为酸豆尝起来酸甜可口，富含多种有机酸，故得此名。 [14] 
牛奶碱性蛋白,MilkBasicProtein,≤200毫克/天,均适宜,牛奶碱性蛋白，是一种新资源食品，以鲜牛乳为原料，经脱脂、过滤、浓缩、去除酪蛋白等酸性蛋白、阳离子层析、冷冻干燥等工艺制成。
乳矿物盐,Milk Minerals,≤5克/天,均适宜,乳矿物盐是一种新资源食品。是指以乳清为原料，经去除蛋白质、乳糖等成分牛奶碱性蛋白而制成的利于人体吸收的营养补充剂，但婴幼儿食品禁止添加.复合维生素等均属于乳矿物盐。2012年9月，光明乳业宝宝奶酪被指含乳矿物盐，在全国下架。
地龙蛋白,Earthworm protein,≤10克/天,本产品不适宜婴幼儿、少年儿童、孕产妇、过敏体质者等人群食用。,地龙蛋白提取自地龙，含有胶原酶、纤溶酶、蚓激酶、纤溶激活蛋白（FA蛋白）、核酸、微量元素等多种成分，其分子量在5000-10000，属于短链小分子物质。地龙提取物，地龙通过高科技提取，已成功研发出地龙蛋白片、地龙蛋白软胶囊、纤溶激活蛋白等产品。已广泛用于临床，并越来越多地用在心、脑血管，内分泌，呼吸系统等疾病的预防和治疗中心。地龙蛋白对体内的凝血系统和纤溶系统。具有广泛的影响，既可明显降低大鼠血小板黏附率，延长体内血栓形成和溶解体内血栓，又能增加脑血流量，减少脑血管阻力。改善微循环，减少三高对人体的危害。 2009年，卫生部2009年第18号文批准地龙蛋白作为新资源食品，并注明不得含有蚓激酶。
甘油二酯油,"Diacylglycerol, DG,DAG",≤30克/天,均适宜,"甘油二酯（Diacylglycerol, DG，DAG），是一类甘油三酯（Triacylglycerol, TG）中一个脂肪酸被羟基取代的结构脂质。DAG 是天然植物油脂的微量成分及体内脂肪代谢的内源中间产物，它是公认安全（GRAS）的食品成分。近年来发现，膳食DAG 具有减少内脏脂肪、抑制体重增加、降低血脂的作用，因而受到广泛的关注。"
鱼油及提取物|鱼油|鱼油提取物,翻译暂缺,≤3克/天,均适宜,暂无介绍
盐藻及提取物|盐藻|盐藻提取物,翻译暂缺,≤15毫克/天（以β－胡萝卜素计）,均适宜,暂无介绍
茶叶籽油,Green tea seed oil,≤15克/天,均适宜,茶叶籽油是一般人们喝茶的茶叶树在秋天结的果子，进行压榨出来的产物，由于茶叶籽油产量很低，且营养价值丰富，因此茶叶籽油又称“油黄金”，古代为皇家用油。随着压榨工艺的成熟，茶叶籽油开始进行产业化生产，茶叶籽油产地主要以长江流域及西南茶原产地等地区为主。
杜仲籽油,eucommia seed oil,≤3毫升/天,均适宜,杜仲科植物杜仲（Eucommia ulmoides Oliver）是中国名贵滋补药材。杜仲籽油是从杜仲籽中亚临界低温萃取 制得的油脂。含有大量α-亚麻酸。
植物乳杆菌,翻译暂缺,暂无数据,均适宜,"植物乳杆菌是乳酸菌的一种，最适生长温度为30~35,厌氧或兼性厌氧,菌种为直或弯的杆状，单个、有时成对或成链状，最适pH 6. 5左右，属于同型发酵乳酸菌。此菌与其他乳酸菌的区别在于此菌的活菌数比较高，能大量的产酸，使水中的PH值稳定不升高，而且其产出的酸性物质能降解重金属；由于此菌是厌氧细菌（兼性好氧），在繁殖过程中能产出特有的乳酸杆菌素，乳酸杆菌素是一种生物型的防腐剂。在养殖中后期，由于动物的粪便和残饵料增加，会下沉到池塘的底部，并且腐烂，滋生很多病菌，生成大量的氨氮和亚硝酸盐，使底部偷死现象严重。如果长期使用植物乳酸杆菌，就能很好的抑制底部粪便和残饵料的腐烂，也就降低了氨氮和亚硝酸盐的增加，大量减少了化工降解素的用量，使养殖成本降低。"
共轭亚油酸甘油酯,：Conjugated Linoleic Acid Glycerides,＜6克/天,均适宜,共轭亚油酸甘油酯--英文名称为Conjugated Linoleic Acid Glycerides，其来源于红花籽油 ，是一种新资源食品。
共轭亚油酸,Conjugated linoleic acid（CLA）,＜6克/天,均适宜,共轭亚油酸（Conjugated linoleic acid，以下简称CLA）是亚油酸的所有立体和位置异构体混合物的总称，可以看作是亚油酸的次生衍生物，分子式为C17H31COOH。共轭亚油酸的双键可位于7和9，8和10，9和11，10和12，11和13，12和14位置上，其中每个双键又有顺式（cis或c）和反式（trans或t）两种构象。理论上共轭亚油酸有20多种的同分异构体，而c-9，t-11和t-10，c-12是含量最多的两种异构体。共轭亚油酸在食物中通过消化道被吸收进入血液而分布到全身。CLA被吸收后主要进入组织结构脂当中，也有进入血浆磷脂、细胞膜的磷脂或在肝中代谢生成花生四烯酸，再进一步合成二十烷类活性物质。
初乳碱性蛋白,Colostrum basic protein,≤100毫克/天,均适宜,CBP是初乳碱性蛋白简称（Colostrum basic protein）。牛初乳作为一种营养珍品应用已超过50年，初乳不仅蛋白含量高，而且含有许多其它乳制品中没有的珍稀蛋白，CBP（初乳碱性蛋白）就是其中之一，它从牛初乳中仅能萃取出万分之四。CBP是国际上近几年最新提取成功并用于保健领域的初乳精华。2009年被批准为新资源食品。
γ-氨基丁酸,γ－aminobutyric acid (GABA),≤500毫克/天,均适宜,"γ－氨基丁酸是一种化合物，化学式是C₄H₉NO₂，别名4－氨基丁酸（γ-aminobutyric acid，简称GABA），是一种氨基酸，在脊椎动物、植物和微生物中广泛存在。 γ-氨基丁酸(Gamma-aminobutyric acid,GABA)是一种重要的中枢神经系统抑制性神经递质,其拥有良好的水溶性与热稳定性。现已证实,作为小分子量非蛋白质氨基酸的GABA具备食用安全性,并可用于饮料等食品的生产。研究表明,摄入一定量的GABA具备改善机体睡眠质量、降血压等生理功效。"
多聚果糖,Polyfructose,≤8.4克/天,均适宜,"多聚果糖是从菊苣根中提取的，经提取过滤、去除蛋白质、矿物质及短链果聚糖、喷雾干燥等步骤制成的具有保健功能的低聚糖，由α -果糖以β-1,2糖苷键连接，在其末端接一个葡萄糖残基而形成的。"
菊粉,Inulin、Synanthrin,≤15克/天,均适宜,菊粉是植物中储备性多糖，主要来源于植物，已发现有36000多种，包括双子叶植物中的菊科、桔梗科、龙胆科等11个科及单子叶植物中的百合科、禾木科。例如，在菊芋、菊苣的块茎、天竺牡丹（大理菊）的块根、蓟的根中都含有丰富的菊粉，其中菊芋的菊粉含量是最高的。
珠肽粉,翻译暂缺,≤3克/天,均适宜,珠肽粉，是以检疫合格猪的血红细胞为原料，经黑曲霉蛋白酶酶解猪血红蛋白得到的寡肽混合物。
植物乳杆菌,翻译暂缺,暂无数据,均适宜,"植物乳杆菌是乳酸菌的一种，最适生长温度为30~35,厌氧或兼性厌氧,菌种为直或弯的杆状，单个、有时成对或成链状，最适pH 6. 5左右，属于同型发酵乳酸菌。此菌与其他乳酸菌的区别在于此菌的活菌数比较高，能大量的产酸，使水中的PH值稳定不升高，而且其产出的酸性物质能降解重金属；由于此菌是厌氧细菌（兼性好氧），在繁殖过程中能产出特有的乳酸杆菌素，乳酸杆菌素是一种生物型的防腐剂。在养殖中后期，由于动物的粪便和残饵料增加，会下沉到池塘的底部，并且腐烂，滋生很多病菌，生成大量的氨氮和亚硝酸盐，使底部偷死现象严重。如果长期使用植物乳酸杆菌，就能很好的抑制底部粪便和残饵料的腐烂，也就降低了氨氮和亚硝酸盐的增加，大量减少了化工降解素的用量，使养殖成本降低。"
植物乳杆菌,翻译暂缺,暂无数据,均适宜,"植物乳杆菌是乳酸菌的一种，最适生长温度为30~35,厌氧或兼性厌氧,菌种为直或弯的杆状，单个、有时成对或成链状，最适pH 6. 5左右，属于同型发酵乳酸菌。此菌与其他乳酸菌的区别在于此菌的活菌数比较高，能大量的产酸，使水中的PH值稳定不升高，而且其产出的酸性物质能降解重金属；由于此菌是厌氧细菌（兼性好氧），在繁殖过程中能产出特有的乳酸杆菌素，乳酸杆菌素是一种生物型的防腐剂。在养殖中后期，由于动物的粪便和残饵料增加，会下沉到池塘的底部，并且腐烂，滋生很多病菌，生成大量的氨氮和亚硝酸盐，使底部偷死现象严重。如果长期使用植物乳酸杆菌，就能很好的抑制底部粪便和残饵料的腐烂，也就降低了氨氮和亚硝酸盐的增加，大量减少了化工降解素的用量，使养殖成本降低。"
异麦芽酮糖醇,翻译暂缺,≤100克/天,均适宜,异麦芽酮糖醇是化学物质，白色无臭结晶，味甜，甜度约为蔗糖的45%~65%，稍吸湿。
水解蛋黄粉,Bonepep,≤1克/天,均适宜,Bonepep水解蛋黄粉于2008年9月由日本富尔玛株式会社申报，正式被中国卫生部纳入到新资源食品。
鼠李糖乳杆菌,翻译暂缺,暂无数据,均适宜,鼠李糖乳杆菌( Lactobacillus rhamnosus)多存在于人和动物的肠道内，细菌分类学属于乳杆菌属，鼠李糖亚种，是厌氧耐酸、不产芽孢的一种革兰氏阳性益生菌。鼠李糖乳杆菌不能利用乳糖，可发酵多种单糖(葡萄糖、阿拉伯糖、麦芽糖等)，大多数菌株能产生少量的可溶性氨，但不产生吲哚和硫化氢 ，它具有耐酸、耐胆汁盐、 耐多种抗生素等生物学特点。
嗜酸乳杆菌,翻译暂缺,暂无数据,均适宜,嗜酸乳杆菌不仅在胃中，它还是人体小肠内的主要益生菌。
副干酪乳杆菌,Lactobacillus paracasei,暂无数据,均适宜,副干酪乳杆菌经发酵培养、离心、急速冷冻、干燥、包装等步骤生产而成。
低聚半乳糖,Galactooligosaccharides,≤15克/天,均适宜,低聚半乳糖(Galactooligosaccharides，GOS)是一种具有天然属性的功能性低聚糖，其分子结构一般是在半乳糖或葡萄糖分子上连接1~7 个半乳糖基，即Gal-(Gal)n-Glc/Gal(n 为0-6)。在自然界中，动物的乳汁中存在微量的GOS，而人母乳中含量较多，婴儿体内的双歧杆菌菌群的建立很大程度上依赖母乳中的GOS 成分。
嗜酸乳杆菌,翻译暂缺,暂无数据,均适宜,嗜酸乳杆菌不仅在胃中，它还是人体小肠内的主要益生菌。
库拉索芦荟凝胶,翻译暂缺,≤30克/天,不适宜人群：孕妇、婴幼儿,库拉索芦荟凝胶--拉丁名称为Aloe Vera Gel，其是以库拉索芦荟叶片为原料，经沥醌清洗、去皮、漂烫、杀菌等步骤制成。是一种新资源食品。
短梗五加(),翻译暂缺,≤4.5克/天,不适宜人群：哺乳期妇女、孕妇、婴幼儿及儿童,暂无介绍
L-阿拉伯糖,L-Arabinose,暂无数据,均适宜,L-阿拉伯糖，又称树胶醛糖、果胶糖，是一种戊醛糖，化学式为C5H10O5。在自然界中L-阿拉伯糖很少以单糖形式存在，通常与其他单糖结合，以杂多糖的形式存在于胶质、半纤维素、果胶酸、细菌多糖及某些糖苷中。其对热和酸的稳定性高。
叶黄素酯,Lutein ester,≤12 毫克/天,均适宜,叶黄素酯是一种重要的类胡萝卜素脂肪酸酯，深红棕色细小颗粒。大部分存在于自然界中的叶黄素酯可分为反式叶黄素酯和顺式叶黄素酯，基本都以全反式分子构型为主。全反式叶黄素酯又可分为：叶黄素单酯和叶黄素二酯。
透明质酸钠,Sodium Hyaluronate,≤200 毫克/天,均适宜,透明质酸钠，化学式为(C14H20NO11Na)n，是人体内一种固有的成分，是一种葡聚糖醛酸，没有种属特异性，它广泛存在于胎盘、羊水、晶状体、关节软骨、皮肤真皮层等组织、器官中。它分布在细胞质、细胞间质中，对其中所含的细胞和细胞器官本身起润滑与滋养作用。
加氧饮用水,翻译暂缺,暂无数据,均适宜,暂无介绍
低聚果糖,Fructo oligosaccharide，FOS,暂无数据,均适宜,低聚果糖又称果寡糖或蔗糖三糖族低聚糖。低聚果糖通常食用的很多水果、蔬菜中均存在。 蔗糖分子以β-（1→2）糖苷键与1-3个果糖分子结合成的蔗果三糖，蔗果四糖和蔗果五糖，属于果糖和葡萄糖构成的直链杂低聚糖。 分子式为G-F- Fn（n=1，2，3，G为葡萄糖，F为果糖）。
罂粟籽油脂,翻译暂缺,暂无数据,均适宜,暂无介绍
蚕蛹,Silkworm Chrysalis,暂无数据,均适宜,蚕蛹，是鳞翅目蚕蛾科家蚕的蛹 。蚕蛹是幼虫和成虫之间一个静止不活动的变态时期。蚕吐丝结茧后经过4天左右，就会变成蛹。蚕蛹的体形像一个纺棰，分头、胸、腹3个体段。头部很小，长有复眼和触角；胸部长有胸足和翅；腹部长有体节，呈咖啡色 [13]  。
玫瑰茄,翻译暂缺,暂无数据,均适宜,玫瑰茄（Hibiscus sabdariffa L.）锦葵科木槿属的一年生草本植物。株高1~2米；茎、枝淡紫色；茎下部叶卵形，上部叶掌状，裂片披针形，基部近圆或宽楔形，两面无毛，托叶线形；常绿或半常绿灌木；蒴果卵球形；种子肾形；花期7~10月； 果期11~12月。
刺梨,翻译暂缺,暂无数据,均适宜,刺果茶藨子（Ribes burejense F. Schmidt）是茶藨子科茶藨子属植物。老枝较平滑，灰黑色或灰褐色，小枝灰棕色，幼时具柔毛；叶宽卵圆形，幼时两面被短柔毛，边缘有粗钝锯齿；花两性，单生于叶腋或短总状花序，花期5-6月；果实圆球形，成熟后为暗红黑色，具多数黄褐色小刺，果期7-8月；主要变种有长毛茶藨子。
极大螺旋藻,翻译暂缺,暂无数据,均适宜,极大螺旋藻属蓝藻门、颤藻科，灰绿色，细胞宽7～9μm，长小于宽，螺间距70～80μm，顶端微尖，横壁不收缢，横壁两边有颗粒。
钝顶螺旋藻,翻译暂缺,暂无数据,均适宜,钝顶螺旋藻（Spirulina platensis）和极大螺旋藻两个品种是螺旋藻品种中最优良的。
魔芋,翻译暂缺,暂无数据,均适宜,魔芋（学名：Amorphophallus）天南星科魔芋属多年生草本植物的统称。魔芋因产区不同，在中国各地有不同的俗名。成年植物块茎常扁球形，稀萝卜状或长圆柱形，顶部中央下凹；叶柄光滑或粗糙具疣；叶片通常3全裂；花序1，通常具长柄，稀为短柄；浆果具1个或少数种子。根据魔芋花葶的长短及附属器是否有毛，可以将其分为三组：毛魔芋组、魔芋组和短柄组。 [13] 
高粱花粉,翻译暂缺,暂无数据,均适宜,暂无介绍
芝麻花粉,翻译暂缺,暂无数据,均适宜,暂无介绍
荞麦花粉,翻译暂缺,暂无数据,均适宜,暂无介绍
紫云英花粉,翻译暂缺,暂无数据,均适宜,暂无介绍
向日葵花粉,翻译暂缺,暂无数据,均适宜,暂无介绍
