中文名,英文名,建议摄入量,不适宜人群,简介
栀子黄,Gardenia Yellow,暂无数据,均适宜,栀子黄(crocin，gardenia yellow)，别名藏花素，俗称黄栀子，属类胡萝卜素系列，它是栀子中的黄色色素，其黄色素成分为类胡萝卜类色素的藏花素，与藏红花中的藏花素相同。分子式为C44H64O24，相对分子质量976.97。栀子黄可用于果汁(味)型饮料、配制酒、糕点上彩妆、冰棍、雪糕、膨化食品、果冻、面饼、糖果和栗子罐头等 。
植物炭黑,Vegetable carbon black,暂无数据,均适宜,简介：植物炭黑是一种不溶性的着色剂，因而通常以悬浮液的形式使用。主要用于糖果中，通常用作遮蔽剂。别名：植物黑、植物炭、炭黑、食用炭黑、天然黑色素性状：黑色粉状微粒，无臭、无味，不溶于水和有机溶剂。制法：以植物树干、壳为原料，经炭化而成。用途：焙烤食品/粮食及谷物制品/乳制品/糖及糖渍食品/糖果/装饰和被膜飧用冰。
蔗糖脂肪酸酯,Sucrose Fatty Acid Esters,暂无数据,均适宜,"脂肪酸蔗糖酯、蔗糖酯，简称SE(SUGAR ESTERS)。一种非离子表面活性剂，由蔗糖和脂肪酸经酯化反应生成的混合物。因蔗糖含有8个—OH基，因此经酯化，从单酯到八酯的各种产物均可生成。可细分为单脂肪酸酯、双脂肪酸酯和三脂肪酸酯。以蔗糖的—OH基为亲水基，脂肪酸的碳链部分为亲油基，常用硬脂酸、油酸、棕榈酸等高级脂肪酸（产品为粉末状），也用醋酸、异丁酸等低级脂肪酸（产品为粘稠树脂状）。它以其无毒、易生物降解及良好的表面性能,广泛用于食品、医药、日化、生物工程的酶制剂、石油开采、纺织及农牧业等行业。"
诱惑红及其铝色淀,翻译暂缺,暂无数据,均适宜,暂无介绍
硬脂酸镁,Magnesium stearate,暂无数据,均适宜,硬脂酸镁，化学式为C36H70MgO4，分子量为591.24，是一种有机化合物，为白色无砂性的细粉，与皮肤接触有滑腻感。在水、乙醇或乙醚中不溶，主要用作润滑剂、抗粘剂、助流剂。特别适宜油类、浸膏类药物的制粒，制成的颗粒具有很好的流动性和可压性。在直接压片中用作助流剂。还可作为助滤剂、澄清剂和滴泡剂，以及液体制剂的助悬剂、增稠剂。
硬脂酸钙,Calcium stearate,暂无数据,均适宜,硬脂酸钙是一种有机化合物，分子式为C36H70CaO4，白色粉末，不溶于水，可用作防水剂、润滑剂和塑料助剂等。
硬脂酸,stearic acid,暂无数据,均适宜,硬脂酸，化学式为C18H36O2，分子量为284.48，是一种化合物，即十八烷酸。由油脂水解生产，主要用于生产硬脂酸盐。
乙酰磺胺酸钾,acesulfame,暂无数据,均适宜,安赛蜜是一种食品添加剂，化学名称为乙酰磺胺酸钾，又称AK糖，外观为白色结晶性粉末，它是一种有机合成盐，其口味与甘蔗相似，易溶于水，微溶于酒精。安赛蜜化学性质稳定，不易出现分解失效现象；不参与机体代谢，不提供能量；甜度较高，价格便宜；无致龋齿性；对热和酸稳定性好，是当前世界上第四代合成甜味剂。它和其他甜味剂混合使用能产生很强的协同效应，一般浓度下可增加甜度20%~40%。
乙酰化二淀粉磷酸酯,Acetylated distarch phosphate,暂无数据,均适宜,乙酰化二淀粉磷酸酯 英文名称： phosphate（ADSP），白色粉末，无臭、无味，易溶于水，不溶于有机溶剂。与原淀粉相比，其溶解度、膨润力及透明度明显提高；老化倾向明显降低，冷冻稳定性提高。可抗热、抗酸。
乙酸乙酯,ethyl acetate,暂无数据,均适宜,乙酸乙酯（ethyl acetate），又称醋酸乙酯，是一种有机化合物，化学式为C4H8O2，是一种具有官能团-COOR的酯类（碳与氧之间是双键），能发生醇解、氨解、酯交换、还原等一般酯的共同反应，主要用作溶剂、食用香料、清洗去油剂。
乙酸钠,Sodium acetate,暂无数据,均适宜,乙酸钠，又称醋酸钠，是一种有机物，分子式为CH3COONa，分子量为82.03。三水合物乙酸钠性状为白色结晶体，相对密度1.45，熔点为58℃，在干燥空气中风化，在120℃时失去结晶水，温度再高时分解；无水乙酸钠为无色透明结晶体，熔点324℃。易溶于水，可用于作缓冲剂、媒染剂，用于铅铜镍铁的测定，培养基配制，有机合成，影片洗印等。 [5-6]  
异构化乳糖液,lactulose,暂无数据,均适宜,异构化乳糖在市场上是以两种剂型存在，异构化乳糖粉和异构化乳糖液。商业生产异构化乳糖采用乳糖为原料经受热或者用氢氧化钠作催化剂条件下进行异构化作用而得。
乙醇/酒精,翻译暂缺,暂无数据,均适宜,暂无介绍
叶绿素铜钠盐,chlorophyllin copper complex sodium salt,暂无数据,均适宜,叶绿素铜钠盐(sodium coppe chlorophylin) 为墨绿色粉末，是以天然的绿色植物组织，如蚕粪、三叶草、苜蓿、竹子等植物的叶子为原料，用丙酮、甲醇、乙醇、石油醚等有机溶剂提取，以铜离子取代叶绿素中心镁离子，同时用碱对其进行皂化，除去甲基和植醇基后形成的羧基成为二钠盐。因而，叶绿素铜钠盐为半合成色素。与其结构和生成原理类似的叶绿素系列色素还有叶绿素铁钠盐、叶绿素锌钠盐等。
氧化羟丙基淀粉,Oxidized hydroxypropyl starch,暂无数据,均适宜,氧化羟丙基淀粉是一种食用辅料，可用作黏合剂，增稠剂，悬浮剂，增加稳定性。
氧化淀粉,Oxystarch,暂无数据,均适宜,氧化淀粉，是淀粉在酸、碱、中性介质中与氧化剂作用，使淀粉氧化而得到的一种变性淀粉。氧化淀粉使淀粉糊化温度降低，热糊粘度变小而热稳定性增加，产品颜色洁白，糊透明，成膜性好，抗冻融性好，是低粘度高浓度的增稠剂，广泛应用于纺织、造纸、食品及精细化工行业。
胭脂红及其铝色淀|胭脂红|胭脂红铝色淀,翻译暂缺,暂无数据,均适宜,暂无介绍
盐酸,hydrochloric acid,暂无数据,均适宜,盐酸（hydrochloric acid）是氯化氢（HCl）的水溶液 ，工业用途广泛。盐酸为无色透明的液体，有强烈的刺鼻气味，具有较高的腐蚀性。浓盐酸（质量分数约为37%）具有极强的挥发性，因此盛有浓盐酸的容器打开后氯化氢气体会挥发，与空气中的水蒸气结合产生盐酸小液滴，使瓶口上方出现酸雾。盐酸是胃酸的主要成分，它能够促进食物消化、抵御微生物感染。
辛烯基琥珀酸淀粉钠,Starch sodium octenyl succinate,暂无数据,均适宜,辛烯基琥珀酸淀粉钠（sodium starch octenyl succinate），又称纯胶、SSOS，是低取代度（每50个葡萄糖单位不多于1个取代基）的淀粉和辛烯基琥珀酸的半酯化产品，为白色或类似白色粉末 。辛烯基琥珀酸淀粉钠在水中加热时可吸水膨胀，高温时可完全成胶状；还具有疏水亲油性，可用作乳浊液稳定剂，可代替阿拉伯胶 。
低聚半乳糖,Galactooligosaccharides,暂无数据,均适宜,低聚半乳糖(Galactooligosaccharides，GOS)是一种具有天然属性的功能性低聚糖，其分子结构一般是在半乳糖或葡萄糖分子上连接1~7 个半乳糖基，即Gal-(Gal)n-Glc/Gal(n 为0-6)。在自然界中，动物的乳汁中存在微量的GOS，而人母乳中含量较多，婴儿体内的双歧杆菌菌群的建立很大程度上依赖母乳中的GOS 成分。
苋菜红及其铝色淀,翻译暂缺,暂无数据,均适宜,暂无介绍
维生素E,Vitamin E,暂无数据,均适宜,维生素E亦称维他命E。又名生育酚或产妊酚。是最主要的抗氧化剂之一。溶于脂肪和乙醇等有机溶剂中，不溶于水，对热、酸稳定，对碱不稳定，对氧敏感，对热不敏感，但油炸时维生素E活性明显降低。在食油、水果、蔬菜及粮食中均存在。维生素E是一种有8种形式的脂溶性维生素，常被用于乳霜和乳液中，因为人们相信维生素E对于受到如烧烫伤的伤害后，能促进皮肤愈合及减少疤痕形成。
维生素C,Vitamin C,暂无数据,均适宜,"维生素C是一种水溶性维生素，化学命名为L-(+)-苏阿糖型2,3,4,5,6-五羟基-2-己烯酸-4-内酯，又名L-抗坏血酸，分子式为C6H8O6，分子量为176.12。 [1-2]  "
微晶纤维素,Microcrystalline Cellulose,暂无数据,均适宜,"微晶纤维素（MCC，Microcrystalline cellulose），主要成分为以β-1,4-葡萄糖苷键结合的直链式多糖类物质 ，是天然纤维素经稀酸水解至极限聚合度（LODP）的可自由流动的极细微的短棒状或粉末状多孔状颗粒，组成的白色、无臭、无味的结晶粉末。"
天然苋菜红,Natural amaranthus red,暂无数据,均适宜,天然苋菜红是一种食用色素，主要来源于红苋菜，红苋菜为一年生草本，分枝较多。叶对生，叶片卵状椭圆形至披针形，长4～12cm，宽2～7cm。天然苋菜红色素色泽鲜艳，无毒，安全性高，性质稳定，是优良的天然食用色素。
天门冬酰苯丙氨酸甲酯|阿斯巴甜,翻译暂缺,暂无数据,均适宜,暂无介绍
甜菊糖苷,Stevia,暂无数据,均适宜,甜菊糖，又称甜菊苷，化学式为C38H60O18，是从菊科植物甜叶菊的叶子中提取出来的一种糖苷。甜叶菊原产于巴拉圭和巴西，它具有高甜度、低热能的特点，其甜度是蔗糖的200-300倍，热值仅为蔗糖的1/300。
甜菜红,BeetRootRed,暂无数据,均适宜,甜菜红(beet root red)亦称甜菜根红，甜菜红色素是以食用红甜菜为原料，通过浸提、分离、浓缩、干燥而成的天然色素，主要成分为甜菜花青素和甜菜黄素，甜菜红为红紫至深紫色液体、块状、粉末状或糊状物，有异臭，易溶于水、牛奶、50%乙醇或丙二醇水溶液，难溶于无水乙醇、丙二醇和乙酸，不溶于乙醚、丙酮、氯仿、苯、甘油和油脂等有机溶剂。水溶液呈现红色至紫红色，色泽鲜艳 。
糖精钠,Saccharin Sodium,暂无数据,均适宜,糖精钠，是有机化合物，化学式为C7H4NNaO3S，是食品添加剂，对人体无营养价值。当食用较多时，会影响肠胃消化酶的正常分泌，降低小肠的吸收能力，使食欲减退。许多国家都限制了糖精钠在食品加工中的使用量。在生产经营活动中，少数企业为了片面追求产品的甜度、色泽或延长产品保质期，擅自违法过量使用糖精钠等食品添加剂，对人体健康构成了潜在的威胁。
碳酸氢钠,sodium bicarbonate,暂无数据,均适宜,"碳酸氢钠（Sodium bicarbonate），分子式为NaHCO?，是一种无机化合物，白色粉末或细微晶体，无臭，味咸，易溶于水，微溶于乙醇（一说不溶），水溶液呈微碱性。受热易分解，在潮湿空气中缓慢分解，产生二氧化碳，约50℃开始分解，加热至270℃完全分解 。遇酸则强烈分解，产生二氧化碳。碳酸氢钠广泛应用于化工、医药、食品、轻工、纺织等工业领域以及人们的日常生活, 在国民经济中占有重要的地位 [13]  。"
碳酸钠,Sodium Carbonate,暂无数据,均适宜,碳酸钠(Sodium Carbonate)，是一种无机化合物，化学式为Na2CO3，分子量105.99 ，又叫纯碱，但分类属于盐，不属于碱，国际贸易中又名苏打或碱灰。碳酸钠是一种白色粉末，无味无臭，易溶于水，水溶液呈强碱性，在潮湿的空气里会吸潮结块，部分变为碳酸氢钠。碳酸钠的制法有联合制碱法、氨碱法、路布兰法等，也可由天然碱加工精制。它是一种重要的无机化工原料，主要用于平板玻璃、玻璃制品和陶瓷釉的生产。还广泛用于生活洗涤、酸类中和以及食品加工等。
碳酸钙,Calcium carbonate,暂无数据,均适宜,碳酸钙是一种无机化合物，化学式为CaCO?，是石灰石、大理石等的主要成分。碳酸钙通常为白色晶体，无味，基本上不溶于水，易与酸反应放出二氧化碳 。它是地球上常见物质之一，存在于霰石、方解石、白垩、石灰岩、大理石、石灰华等岩石内，亦为某些动物骨骼或外壳的主要成分。碳酸钙也是重要的建筑材料，工业上用途甚广 。
羧甲基纤维素钠,Carboxymethylcellulose　Sodium　Lubricant,暂无数据,均适宜,羧甲基纤维素钠（CMC-Na）是一种有机物，化学式为[C6H7O2(OH)2OCH2COONa]n，是纤维素的羧甲基化衍生物，是最主要的离子型纤维素胶。羧甲基纤维素钠通常是由天然的纤维素和苛性碱及一氯醋酸反应后而制得的一种阴离子型高分子化合物，分子量由几千到百万。CMC-Na为白色纤维状或颗粒状粉末，无臭、无味、有吸湿性，易于分散在水中形成透明的胶体溶液。
羧甲基淀粉钠,Carboxymethyl starch sodium （CMS）,暂无数据,均适宜,羧甲基淀粉钠又称为羧甲基淀粉，是一种阴离子淀粉醚，化学式为[C10H19O8Na]n， 白色或黄色粉末，是能溶于冷水的电解质。是变性淀粉的一种，属醚类淀粉，是一种水溶性阴离子高分子型化合物。它无味、无毒、不易霉变、当取代度大于0.2以上时易溶于水。
酸性红,Carmosine（Azorubine）,暂无数据,均适宜,酸性红是一种化学物质，分子式是C20H12N2 Na2O7S2。
山梨糖醇和山梨糖醇液,翻译暂缺,暂无数据,均适宜,暂无介绍
山梨酸及其钾盐,翻译暂缺,暂无数据,均适宜,暂无介绍
三氯蔗糖,Sucralose,暂无数据,均适宜,三氯蔗糖，俗称蔗糖素，是一种高倍甜味剂，分子式为C12H19Cl3O8。稳定性高，对光、热、pH均很稳定。极易溶于水、甲醇和乙醇，微溶于乙醚。10%水溶液的pH为5~8。 在1976年由英国泰莱公司与伦敦大学共同研制并申请专利的一种新型甜味剂，并于1988年投入市场，是唯一以蔗糖为原料的功能性的甜味剂，原始商标名称为Splenda，可达到蔗糖的甜度约600倍（400~800倍）。三氯蔗糖特点具有无能量，高甜度，纯正甜味，安全度高等，也是最理想的甜味剂之一。
三聚磷酸钠,Sodium Tripolyphosphate（STPP）,暂无数据,均适宜,三聚磷酸钠，是一种无机化合物，化学式Na5P3O10，是一种无定形水溶性线状聚磷酸盐，常用于食品中，作水分保持剂、品质改良剂、pH调节剂、金属螯合剂。
乳糖醇|4-β-D 吡喃半乳糖-D-山梨醇,翻译暂缺,暂无数据,均适宜,暂无介绍
乳酸钠,Sodium lactate,暂无数据,均适宜,乳酸钠是一种化学物质，分子式为C3H5O3Na。分子量112.06，无色或几乎无色的透明液体，能与水、乙醇、甘油溶合。应用于食品的保鲜、保湿、增香及制药原料，也可作为医药用于解除因腹泻脱水、糖尿病、肾炎等症所科生的酸中毒。也用作调味品，酪蛋白塑料的增塑剂、防冻剂、保湿剂、甘油的代用品、醇类防冻剂的防蚀剂。
乳酸,2-Hydroxypropanoic acid,暂无数据,均适宜,乳酸，是一种羧酸，化学式是C3H6O3，含有羟基，属于α-羟酸（AHA）。在水溶液中，其羧基释放出一个质子而产生乳酸根离子CH3CH(OH)COO?。
日落黄及其铝色淀,翻译暂缺,暂无数据,均适宜,暂无介绍
琼脂,agar,暂无数据,均适宜,琼脂，学名琼胶，英文名（agar），又名洋菜（agar-agar）、海东菜、冻粉、琼胶、石花胶、燕菜精、洋粉、寒天、大菜丝，是植物胶的一种，常用海产的麒麟菜、石花菜、江蓠等制成，为无色、无固定形状的固体，溶于热水。在食品工业中应用广泛，亦常用作细菌培养基。
氢氧化钠,Sodium hydroxide,暂无数据,均适宜,氢氧化钠（Sodium hydroxide），也称苛性钠、烧碱、火碱、片碱，是一种无机化合物，化学式NaOH，相对分子量为39.9970。
羟丙基甲基纤维素(),翻译暂缺,暂无数据,均适宜,暂无介绍
羟丙基二淀粉磷酸酯,Hydroxypropyl distarch phosphate,暂无数据,均适宜,羟丙基二淀粉磷酸酯（Hydroxypropyl distarch phosphate）是一种食品添加剂，白色粉末，无臭，无味，易溶于水。可作为增稠剂。
羟丙基淀粉,Hydroxypropyl Starch,暂无数据,均适宜,羟丙基淀粉是一种有机物，化学式为C3H8O2·x，是一种白色或淡白色且无特殊气味的粉末。不溶于冷水，可在加热条件下糊化成粘稠具有一定透明性的胶体，稳定性好。羟丙基淀粉是食品工业中应用最为广泛的一类变性淀粉。引进一定数量的羟丙基至淀粉分子上，会使得淀粉糊的性质发生有效的改善。
葡萄皮红,Grape-skin red,暂无数据,均适宜,葡萄皮红（英文名：Grape-skin red），是葡萄皮的提取物。
普鲁兰多糖,Pullulan,暂无数据,均适宜,普鲁兰多糖是一种由出芽短梗霉发酵所产生的类似葡聚糖、黄原胶的胞外水溶性粘质多糖，它是1938年由R．Bauer发现的一种特殊的微生物多糖。
"纽甜|N-[N-(3,3-二甲基丁基)]-L-α-天门冬氨-L-苯丙氨酸1-甲酯",翻译暂缺,暂无数据,均适宜,暂无介绍
柠檬酸脂肪酸甘油酯,翻译暂缺,暂无数据,均适宜,柠檬酸脂肪酸甘油酯是一种非离子型食品乳化剂，它是由甘油与脂肪酸和柠檬酸酯化的产物，HLB值4-6，具有乳化、分散、螯合、抗氧化增效、抗淀粉老化及控制脂肪凝集等作用，。GB2760-2007批准该产品为：可在“各类食品中按生产需要适量添加”；可广泛应用于油炸薯片、烘焙产品、肉制品、乳化脂肪制品、婴儿配方食品、较大婴儿和幼儿配方食品以及糖厂煮糖的防垢等。
柠檬酸钠,Sodium citrate,暂无数据,均适宜,又名柠檬酸三钠、枸橼酸钠、枸橼酸三钠，是一种有机酸钠盐。外观为白色到无色晶体，有凉咸味，在空气中稳定。化学式为C6H5Na3O7，溶于水，难溶于乙醇，水溶液具有微碱性，常用作缓冲剂、络合剂、细菌培养基，在医药上用于利尿、祛痰、抗凝血剂，并用于食品、饮料、电镀、照相等方面。是生物试验的基本药剂之一。
柠檬酸钾,Potassium citrate,暂无数据,均适宜,柠檬酸钾，是一种有机化合物， 化学式为C6H5K3O7，为白色结晶性粉末，易溶于水和甘油，不溶于乙醇，主要作防腐剂、稳定剂和pH缓冲剂等。
柠檬酸,Citric Acid,暂无数据,均适宜,柠檬酸（CA），又名枸橼酸，分子式为C?H?O?，是一种重要的有机弱酸，为无色晶体，无臭，易溶于水，溶液显酸性。在生物化学中，它是柠檬酸循环（三羧酸循环）的中间体，柠檬酸循环发生在所有需氧生物的新陈代谢中。柠檬酸被广泛用作酸度调节剂（GB2760—2014）、调味剂和螯合剂。
柠檬黄及其铝色淀,翻译暂缺,暂无数据,均适宜,暂无介绍
木糖醇,Xylitol,暂无数据,均适宜,木糖醇是一种有机化合物，化学式是C5H12O5，原产于芬兰，是从白桦树、橡树、玉米芯、甘蔗渣等植物原料中提取出来的一种天然甜味剂。在自然界中，木糖醇的分布范围很广，广泛存在于各种水果、蔬菜、谷类之中，但含量很低。对于人体来说，木糖醇也不是一种“舶来品”，它本就是人们身体正常糖类代谢的中间体。
明胶,Gelatin,暂无数据,均适宜,明胶是一种大分子的亲水胶体，是胶原部分水解后的产物。按其性能和用途可分为照相明胶、食用明胶和工业明胶。根据用途不同，对明胶的质量要求也不一样。用作粘结剂使用时，主要要求粘接强度。用于照相、食品、医药等领域时，则强调产品的纯度。
迷迭香提取物,翻译暂缺,暂无数据,均适宜,"迷迭香提取物的主要成分为迷迭香酚、鼠尾草酚和鼠尾草酸。,迷迭香提取物中的几种主要成分都具有较强的抗氧化活性。在防止油脂氧化、保持肉类风味等方面具有明显效果。"
玫瑰茄红,roselle;hibiscetin;hibiscuss sabdarite;Hibiscus Color,暂无数据,均适宜,玫瑰茄红又名：班瑰茄，是以草本植物玫瑰茄（Hibiscus Sabaariffa）的花萼为原料，利用现代的生物技术提取而成的天然色素。
麦芽糖醇液,翻译暂缺,暂无数据,均适宜,暂无介绍
麦芽糖醇,Maltitol,暂无数据,均适宜,麦芽糖醇（maltitol）又名氢化麦芽糖，化学名1，4-o-α-D-吡喃葡萄糖基-D-山梨糖醇，是由1分子葡萄糖通过α-1，4-键连接一个山梨醇所组成的二糖。分子式为C12H24O11，相对分子质量为344.31。麦芽糖醇为无色透明晶体，易溶于水，难溶于甲醇和乙醇。
萝卜红,Radish red,暂无数据,均适宜,萝卜红（radish red）主要着色成分是天竺葵素的花色苷类。GB 6718-1986标准溶液适用物红心萝卜经螺旋压榨、真空浓缩、喷雾干燥制得的萝卜红成品。在食品工业中作色素。天竺葵素的分子式为C15H11O5X（x代表糖苷基）。LD50（小白鼠经口）：>15000mg/kg 。
硫酸钙,calcium sulfate,暂无数据,均适宜,硫酸钙（calcium sulfate）是一种无机化合物，化学式为CaSO4，白色结晶性粉末，无臭，具涩味，密度2.960克/立方厘米，微溶于水、甘油，不溶于乙醇。 [1-3]   
六偏磷酸钠,Sodium hexametaphosphate,暂无数据,均适宜,六偏磷酸钠，是一种无机化合物，化学式为(NaPO3)6，为白色结晶性粉末，易溶于水，不溶于有机溶剂，主要在食品工业中作为品质改良剂、pH调节剂、金属离子螯合剂、粘合剂和膨胀剂。
磷酸三钙,Calcium Phosphate Tribasic,暂无数据,均适宜,磷酸钙，是一种无机化合物，化学式为Ca3(PO4)2，为白色晶体或无定形粉末，微溶于水，易溶于稀盐酸和硝酸，不溶于乙醇、丙酮和乙醚，常用作抗结剂、酸度调节剂、营养增补剂(强化钙)、增香剂、稳定剂、水分保持剂 [1-2]  ，医药上用作制酸剂 。
磷酸氢钙,Calcium hydrogen phosphate,暂无数据,均适宜,磷酸氢钙，是一种无机化合物，化学式为CaHPO4，为白色结晶性粉末，易溶于稀盐酸、稀硝酸、醋酸，微溶于水，不溶于乙醇，主要用作食品添加剂。
磷酸氢二钠,Dibasic Sodium Phosphate,暂无数据,均适宜,磷酸氢二钠，又名磷酸一氢钠，化学式为Na2HPO4，是磷酸生成的钠盐酸式盐之一。它为易潮解的白色粉末，可溶于水，水溶液呈弱碱性。
磷酸氢二钾,Dipotassium hydrogenphosphate,暂无数据,均适宜,磷酸氢二钾，是一种无机化合物，化学式为K2HPO4，为白色结晶性或无定形粉末，易溶于水，微溶于醇，主要用作防冻剂的缓蚀剂、抗生素培养基的营养剂、发酵工业的磷钾调节剂、饲料添加剂等。
磷酸二氢钾,Potassium dihydrogen phosphate,暂无数据,均适宜,磷酸二氢钾，是一种无机化合物，化学式为KH2PO4，有潮解性，加热至400℃时熔化而成透明的液体，冷却后固化为不透明的玻璃状偏磷酸钾。空气中稳定，溶于水，不溶于乙醇。工业上用作缓冲剂、培养剂，也用作细菌培养剂合成清酒的调味剂，制偏磷酸钾的原料，酿造酵母的培养剂、强化剂、膨松剂、发酵助剂，农业上用作高效磷钾复合肥。
磷酸,Phosphoric acid,暂无数据,均适宜,磷酸，又名正磷酸，是一种常见的无机酸，是中强酸，化学式为H3PO4，分子量为97.995。不易挥发，不易分解，几乎没有氧化性。具有酸的通性，是三元弱酸，其酸性比盐酸、硫酸、硝酸弱，但比醋酸、硼酸等强。磷酸在空气中容易潮解。加热会失水得到焦磷酸，再进一步失水得到偏磷酸。磷酸主要用于制药、食品、肥料等工业，包括作为防锈剂，食品添加剂，牙科和矫形外科，EDIC腐蚀剂，电解质，助焊剂，分散剂，工业腐蚀剂，肥料的原料和组件家居清洁产品，也可用作化学试剂。
亮蓝及其铝色淀,翻译暂缺,暂无数据,均适宜,暂无介绍
酪蛋白酸钠,Sodium caseinate,暂无数据,均适宜,酪朊酸钠亦称酪蛋白酸钠、酪蛋白钠、酪酸钠或干酪素，是牛乳中主要蛋白质酪蛋白的钠盐，是一种安全无害的增稠剂和乳化剂，因为酪蛋白酸钠含有人体所需的各种氨基酸，营养价值很高，也可作为营养强化剂食用。其相对分子质量75000~375000。
辣椒红,翻译暂缺,暂无数据,均适宜,"辣椒红色素，又名辣椒红，是从辣椒中提取的天然着色剂，主要着色成分为辣椒红素和辣椒玉红素，属类胡萝卜素，占总量的50%~60%。此外，还含有一定量非着色成分辣椒素。辣椒红色素不仅色泽鲜艳,色价高,着色力强,保色效果好,可以有效地延长仿真食品的货架期 。"
辣椒橙,"paprical orange,chilli orange",暂无数据,均适宜,辣椒橙是由辣椒果皮分离出来的天然色素，其主要组分是辣椒红素和辣椒玉红素，具有维生素A活性，是人体内自由基的优良清除剂。辣椒橙色素不仅色泽鲜色价高，而且具有营养保健功能，在食品、药品和精细化工等工业部门是一种很有开发前景的天然着色剂。
L(+)-酒石酸,翻译暂缺,暂无数据,均适宜,L(+)-酒石酸所有制化学物质，质量指标<FCCIV，1996>含量（以 C4H6O6 计） 99.7%～100.5%（干基）。
L-苹果酸,L-Malic acid,暂无数据,均适宜,L-苹果酸是一种有机化合物，分子式为C4H6O5，是一种天然存在的二羧酸，水果酸甜味的来源，常用作食品添加剂。
可可壳色,Cacao husk pigment,暂无数据,均适宜,可可壳色(cocao husk pigment，cocao colour)别名可可壳，是由可可豆及其外皮制取，其主要成分为聚黄酮糖苷，分子式为(C16H13O6R)n，n=5～6或以上，R为半乳糖醛酸，相对分子质量大于1500。小鼠经口LD50>10g/kg体重。急性、亚急性毒性试验结果表明，可可壳色素安全性很高 。
抗坏血酸棕榈酸酯,6-O-palmitoyl-L-ascorbic acid,暂无数据,均适宜,抗坏血酸棕榈酸酯为棕榈酸与L-抗坏血酸等天然成分酯化而成，其化学式为C22H38O7，是一种高效的氧清除剂和增效剂，被世界卫生组织（WHO）食品添加剂委员会评定为具有营养性、无毒、高效、使用安全的食品添加剂，是中国唯一可用于婴幼儿食品的抗氧化剂，本品用于食品可起到抗氧化、食品（油脂）护色、营养强化等功效。
抗坏血酸钠,L-Ascorbic Acid Sodium Salt,暂无数据,均适宜,抗坏血酸钠是一种有机物，化学式为C6H7O6Na，白色至微黄白色结晶性粉末或颗粒，无臭，味稍咸。分解温度218℃，干燥状态下较稳定，遇光则颜色加深，吸潮后及在水溶液中缓慢氧化分解。比抗坏血酸易溶于水（62g/100mL），10%水溶液pH约7.5。
卡拉胶,kappa-Carrageenan,暂无数据,均适宜,卡拉胶（Carrageenan）是一种亲水性胶体，又称为麒麟菜胶、石花菜胶、鹿角菜胶、角叉菜胶，因为卡拉胶是从麒麟菜、石花菜、鹿角菜等红藻类海草中提炼出来的亲水性胶体，它的化学结构是由半乳糖及脱水半乳糖所组成的多糖类硫酸酯的钙、钾、钠、铵盐。由于其中硫酸酯结合形态的不同，可分为K型（Kappa）、I型（Iota）、L型（Lambda）。广泛用于制造果冻、冰淇淋、糕点、软糖、罐头、肉制品、八宝粥、银耳燕窝、羹类食品、凉拌食品等等。
聚乙烯醇,"polyvinyl alcohol,vinylalcohol polymer",暂无数据,均适宜,聚乙烯醇是一种有机化合物，化学式为[C2H4O]n，外观是白色片状、絮状或粉末状固体，无味。溶于水（95℃以上），微溶于二甲基亚砜，不溶于汽油、煤油、植物油、苯、甲苯、二氯乙烷、四氯化碳、丙酮、醋酸乙酯、甲醇、乙二醇等。聚乙烯醇是重要的化工原料，用于制造聚乙烯醇缩醛、耐汽油管道和维尼纶、织物处理剂、乳化剂、纸张涂层、粘合剂、胶水等。
聚氧乙烯山梨醇酐单油酸酯,翻译暂缺,暂无数据,均适宜,暂无介绍
聚葡萄糖,Polydextrose,暂无数据,均适宜,聚葡萄糖（polydextrose)是一种水溶性的膳食纤维，化学式为(C6H10O5)n。 为白色或类白色固体颗粒，易溶于水，溶解度70%，10%水溶液的PH值为2.5－7.0，无特殊味，是一种具有保健功能性的食品组分，可以补充人体所需的水溶性膳食纤维。进入人体消化系统后，产生特殊的生理代谢功能，从而防治便秘，脂肪沉积。
聚甘油脂肪酸酯,Polyglyceryl ester of fatty acid,暂无数据,均适宜,聚甘油脂肪酸酯（Polyglyceryl ester of fatty acid）是一组系列产品的总称，别名聚甘油酯（PGFE）、聚甘油单聚脂肪酸酯、脂肪酸聚甘油酯。特点是有较多亲水羟基 。聚甘油脂肪酸酯是一类新型、高效和性能优良的多羟基酯类非离子型表面活性剂，应用于食品、日化、石油、纺织、涂料、塑料、农药、橡胶、医药等领域 。
结冷胶,翻译暂缺,暂无数据,均适宜,结冷胶别名凯可胶、洁冷胶。主要成分由葡萄糖、葡萄糖醛酸和鼠李糖按2：1：1的比例，四种单糖为重复结构单元所组成的线形多聚糖。在天然的高乙酰结构中有乙酰基和甘油酸基存在，它们都位于同一个葡萄糖基上，且平均每一个重复结构有一个甘油酸基，而每两个重复结构有一个乙酰基。经用KOH皂化后，即转变成低乙酰结冷胶。葡萄糖醛酸基上可被钾、钠、钙和镁盐中和。另含发酵生产时所产生的少量氮 。
